"system","dummies","ecdet","lag_rule","K","cv_valid","equation","ect_term","estimate","t_stat","p_value"
"LTL_Air_IC","za_step","const","SBC",2,FALSE,"Airfreight","ect1",0.0144756590778725,1.06406153092408,0.288397613171214
"LTL_Air_IC","za_step","const","SBC",2,FALSE,"IC","ect1",0.026816317307789,5.9522961228215,9.59642214323302e-09
"LTL_Air_IC","za_step","trend","SBC",2,FALSE,"LTL","ect1",-0.07680617838387,-2.60122432332062,0.00988381643620693
"LTL_Air_IC","za_step","trend","SBC",2,FALSE,"Airfreight","ect1",0.0207939195457615,0.55238509253282,0.581214031758496
"LTL_Air_IC","za_step","trend","SBC",2,FALSE,"IC","ect1",0.0468370450472088,3.72960115304634,0.000240899364276346
"LTL_Air_IC","za_window","const","AIC",3,FALSE,"LTL","ect1",0.0174368035653366,2.25603584117742,0.0250086420691126
"LTL_Air_IC","za_window","const","AIC",3,FALSE,"Airfreight","ect1",0.00865167304352409,0.898064465961463,0.370090325794544
"LTL_Air_IC","za_window","const","AIC",3,FALSE,"IC","ect1",0.013199844192009,4.31585009256737,2.36261703082468e-05
"LTL_Air_IC","za_window","const","SBC",2,FALSE,"LTL","ect1",0.0171416273866945,1.95557104449497,0.0517059149043338
"LTL_Air_IC","za_window","const","SBC",2,FALSE,"Airfreight","ect1",0.0115454690525305,1.05633745334452,0.291903421207967
"LTL_Air_IC","za_window","const","SBC",2,FALSE,"IC","ect1",0.0198899338380606,5.48422084159012,1.07437452241062e-07
