"system","label","dummies","dummies_active","dummies_dropped","ecdet","lag_rule","K","n_months","cv_valid","rank_10pct","rank_5pct","rank_1pct","eigen_rank_5pct","tests_agree_5pct","rank_used","vecm_status"
"TL_Air_IC","Truckload + Airfreight + Census IC","none","","","none","AIC",4,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","none","","","none","SBC",2,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","none","","","const","AIC",4,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","none","","","const","SBC",2,253,TRUE,1,0,0,1,FALSE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","none","","","trend","AIC",4,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","none","","","trend","SBC",2,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","orig","crisis;pandemic","","none","AIC",5,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","orig","crisis;pandemic","","none","SBC",2,253,FALSE,1,1,1,1,TRUE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","orig","crisis;pandemic","","const","AIC",5,253,FALSE,1,1,1,1,TRUE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","orig","crisis;pandemic","","const","SBC",2,253,FALSE,1,1,1,1,TRUE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","orig","crisis;pandemic","","trend","AIC",5,253,FALSE,1,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","orig","crisis;pandemic","","trend","SBC",2,253,FALSE,1,1,0,1,TRUE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_step","crisis;pan_step","","none","AIC",4,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_step","crisis;pan_step","","none","SBC",2,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_step","crisis;pan_step","","const","AIC",4,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_step","crisis;pan_step","","const","SBC",2,253,FALSE,1,1,1,1,TRUE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_step","crisis;pan_step","","trend","AIC",4,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_step","crisis;pan_step","","trend","SBC",2,253,FALSE,2,1,0,0,FALSE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_window","crisis;pan_win","","none","AIC",5,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_window","crisis;pan_win","","none","SBC",2,253,FALSE,1,1,0,1,TRUE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_window","crisis;pan_win","","const","AIC",5,253,FALSE,2,1,1,0,FALSE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_window","crisis;pan_win","","const","SBC",2,253,FALSE,1,1,1,1,TRUE,1,"estimated at r = 1"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_window","crisis;pan_win","","trend","AIC",5,253,FALSE,1,0,0,1,FALSE,NA,"r = 0: no cointegration"
"TL_Air_IC","Truckload + Airfreight + Census IC","za_window","crisis;pan_win","","trend","SBC",2,253,FALSE,1,1,0,1,TRUE,1,"estimated at r = 1"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","none","","","none","AIC",3,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","none","","","none","SBC",2,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","none","","","const","AIC",3,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","none","","","const","SBC",2,253,TRUE,1,1,0,1,TRUE,1,"estimated at r = 1"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","none","","","trend","AIC",3,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","none","","","trend","SBC",2,253,TRUE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","orig","crisis;pandemic","","none","AIC",3,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","orig","crisis;pandemic","","none","SBC",2,253,FALSE,1,0,0,1,FALSE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","orig","crisis;pandemic","","const","AIC",3,253,FALSE,2,1,1,1,TRUE,1,"estimated at r = 1"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","orig","crisis;pandemic","","const","SBC",2,253,FALSE,2,1,1,1,TRUE,1,"estimated at r = 1"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","orig","crisis;pandemic","","trend","AIC",3,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","orig","crisis;pandemic","","trend","SBC",2,253,FALSE,1,0,0,1,FALSE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","za_step","crisis;pan_step","","none","AIC",3,253,FALSE,0,0,0,0,TRUE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","za_step","crisis;pan_step","","none","SBC",2,253,FALSE,0,0,0,1,FALSE,NA,"r = 0: no cointegration"
"LTL_Air_IC","LTL + Airfreight + Census IC (alternate)","za_step","crisis;pan_step","","const","AIC",3,253,FALSE,1,1,0,1,TRUE,1,"estimated at r = 1"
