"Model","K","Trace_r0","Trace_r1","Trace_rank","lmax_r0","lmax_rank","Rank"
"Model 1",5,19.2875800024807,4.43157816379839,0,14.8560018386823,0,0
"Model 2",12,23.6291089552989,7.01807091599015,0,16.6110380393088,0,0
"Model 3",11,15.4902926692089,5.10097786114492,0,10.3893148080639,0,0
"Model 4",10,22.3249595643769,5.54912297256682,0,16.77583659181,0,0
