"Model","Variable_Name","alpha_Primary_IC","t_Primary","p_Primary","alpha_Warehouse_Construction","t_Warehouse_Construction","p_Warehouse_Construction","alpha_Warehousing_Storage","t_Warehousing_Storage","p_Warehousing_Storage","aIC_Primary","tIC_Primary","pIC_Primary","aIC_Warehouse_Construction","tIC_Warehouse_Construction","pIC_Warehouse_Construction","aIC_Warehousing_Storage","tIC_Warehousing_Storage","pIC_Warehousing_Storage"
1,"LTL",-0.123337682231758,-4.62617053354753,7.71124454059429e-06,-0.185572889992883,-4.21382214789156,4.20878588584536e-05,-0.0369595020405218,-1.41954052814285,0.157674777751596,-0.00893310273231189,-0.844723888777178,0.399542290539333,0.0014488812350877,0.049065714045007,0.960928895873766,0.0668783354722382,3.26566148423761,0.00133437986375106
2,"Truckload",-0.046117645789435,-3.6789934868734,0.000318891473087451,-0.0242114137307786,-0.51240641255551,0.609140907865312,-0.0382974108217507,-1.92112051774403,0.0567489933695467,0.00396824313883621,1.1917411642389,0.235116496665417,0.0744098809263493,3.24458849554149,0.00145829720939345,0.0369055176385295,2.84631174167885,0.00508824370748136
3,"Local",-0.0089406156844182,-0.573904675440832,0.566818553780073,-0.0270850138867302,-0.743025242110982,0.458685316778448,-0.0319296318539688,-1.51932461634569,0.130888700937358,0.0183701799114356,3.26480319632531,0.00133347741457631,0.0719198804322057,2.75383523196607,0.00665544966465747,0.0483592510831536,2.60849343350334,0.0100602034616263
4,"Airfreight",-0.0498812372087925,-4.55825211564242,1.01542121499289e-05,-0.143453798406625,-5.7183765407496,5.37692162772383e-08,-0.0160590212764978,-0.873905968246809,0.383604648290607,-0.00460255848603246,-1.34766266856687,0.179660243525039,0.0173207859630252,1.18595912103155,0.237453255930036,0.0416134083515282,3.15385717855899,0.00195649579137179
