"Model","K","Trace_r0","Trace_r1","Trace_rank","lmax_r0","lmax_rank","Rank"
"Model 1",6,24.8257199479245,5.39465511095885,0,19.4310648369657,1,0
"Model 2",10,17.2173287756256,4.01310998205363,0,13.204218793572,0,0
"Model 3",11,15.224296505699,4.80276770312729,0,10.4215288025718,0,0
"Model 4",7,46.7845025789369,8.50128189287652,1,38.2832206860604,1,1
