"series","form","n","mean","sd","min","max"
"LTL","log level",252,5.05502879147224,0.251319717064972,4.61611012602643,5.55606329057216
"LTL","log first-difference",251,0.00350074277545011,0.0141744965014317,-0.040314656783405,0.0819405421008712
"Truckload","log level",252,4.87548798155254,0.180475003554864,4.60816569496789,5.35245511164724
"Truckload","log first-difference",251,0.00214218287431734,0.0177912909830785,-0.092641074294745,0.068500906659791
"Local","log level",252,4.91752386880873,0.149911760429689,4.61015772749913,5.28289911381966
"Local","log first-difference",251,0.00229730894141944,0.0131223140428146,-0.0697632875497103,0.0743627127242465
"Airfreight","log level",252,4.95343216099614,0.173214119157021,4.5798523780038,5.23964427675365
"Airfreight","log first-difference",251,0.00211957130858361,0.0173968786169446,-0.0455385200907141,0.0667540880137567
"SeaFreight","log level",252,5.61678953166738,0.203919954136907,5.34137685600848,6.14880157370777
"SeaFreight","log first-difference",251,0.0023144935000831,0.0240690802465418,-0.102548998883387,0.122958827537736
"IC (Census MTIS)","log level",252,14.35832684581,0.216930239528674,13.9885853280265,14.7799611601763
"IC (Census MTIS)","log first-difference",251,0.00304696259641371,0.0137957775070126,-0.0520088247055259,0.0319404441736797
