"run","Model","dummies","AIC_K","SBC_K","HQ_K","FPE_K","HQ_matches_AIC","HQ_matches_SBC","FPE_matches_AIC","FPE_matches_SBC"
"C_full_whseconstr","Airfreight","za_window",6,4,5,6,FALSE,FALSE,TRUE,FALSE
"C_full_whseconstr","Airfreight","za_series",7,4,4,7,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","LTL","none",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","LTL","orig",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","LTL","za_step",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","LTL","za_window",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","LTL","za_series",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","Truckload","none",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","Truckload","orig",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","Truckload","za_step",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","Truckload","za_window",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","Truckload","za_series",2,2,2,2,TRUE,TRUE,TRUE,TRUE
"D_deflated_censusIC","Local","none",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Local","orig",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Local","za_step",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Local","za_window",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Local","za_series",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Airfreight","none",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Airfreight","orig",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Airfreight","za_step",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Airfreight","za_window",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"D_deflated_censusIC","Airfreight","za_series",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"E_prepandemic_censusIC","LTL","none",4,3,4,4,TRUE,FALSE,TRUE,FALSE
"E_prepandemic_censusIC","LTL","crisis_only",4,1,3,4,FALSE,FALSE,TRUE,FALSE
"E_prepandemic_censusIC","Truckload","none",4,2,3,4,FALSE,FALSE,TRUE,FALSE
"E_prepandemic_censusIC","Truckload","crisis_only",3,2,2,3,FALSE,TRUE,TRUE,FALSE
"E_prepandemic_censusIC","Local","none",4,3,4,4,TRUE,FALSE,TRUE,FALSE
"E_prepandemic_censusIC","Local","crisis_only",4,3,3,4,FALSE,TRUE,TRUE,FALSE
"E_prepandemic_censusIC","Airfreight","none",4,3,3,4,FALSE,TRUE,TRUE,FALSE
"E_prepandemic_censusIC","Airfreight","crisis_only",3,3,3,3,TRUE,TRUE,TRUE,TRUE
