"series","window","n_obs","sample","adf_level","adf_level_lags","adf_level_reject","adf_level_sa","adf_level_sa_reject","kpss_level","kpss_level_reject","adf_diff","adf_diff_lags","adf_diff_reject","adf_diff_sa","adf_diff_sa_lags","adf_diff_sa_reject","kpss_diff","kpss_diff_reject","za_stat","za_cv5","za_break","za_reject","lag_at_ceiling","order"
"TC_Aggregate_WPU30","max",187,"2009-06 .. 2024-12",-1.9458337545245,4,FALSE,-2.75319961343719,FALSE,0.17945633846867,TRUE,-5.71179354774914,2,TRUE,-3.10187893551319,12,TRUE,0.0763174422470125,FALSE,-4.46838142393569,-5.08,"2021-09",FALSE,TRUE,"I(1)"
"TC_Aggregate_WPU30","common",187,"2009-06 .. 2024-12",-1.9458337545245,4,FALSE,-2.75319961343719,FALSE,0.17945633846867,TRUE,-5.71179354774914,2,TRUE,-3.10187893551319,12,TRUE,0.0763174422470125,FALSE,-4.46838142393569,-5.08,"2021-09",FALSE,TRUE,"I(1)"
"Total_Inventories","max",253,"2003-12 .. 2024-12",-3.20385660670601,3,FALSE,-5.26130838839951,TRUE,0.125448904203391,FALSE,-4.54060581323339,2,TRUE,-3.04696585243503,12,TRUE,0.0501909761526969,FALSE,-4.57567722195359,-5.08,"2008-08",FALSE,TRUE,"I(1) (level tests disagree)"
"Total_Inventories","common",253,"2003-12 .. 2024-12",-3.20385660670601,3,FALSE,-5.26130838839951,TRUE,0.125448904203391,FALSE,-4.54060581323339,2,TRUE,-3.04696585243503,12,TRUE,0.0501909761526969,FALSE,-4.57567722195359,-5.08,"2008-08",FALSE,TRUE,"I(1) (level tests disagree)"
"Warehouse_Construction","max",241,"2004-12 .. 2024-12",-1.88121593891991,3,FALSE,-2.78258444832311,FALSE,0.278652113776639,TRUE,-4.33976861266695,2,TRUE,-2.24144250268599,12,FALSE,0.128904804536831,FALSE,-7.97445532015146,-5.08,"2021-09",TRUE,TRUE,"I(1)"
"Warehouse_Construction","common",241,"2004-12 .. 2024-12",-1.88121593891991,3,FALSE,-2.78258444832311,FALSE,0.278652113776639,TRUE,-4.33976861266695,2,TRUE,-2.24144250268599,12,FALSE,0.128904804536831,FALSE,-7.97445532015146,-5.08,"2021-09",TRUE,TRUE,"I(1)"
"Warehousing_Storage","max",193,"2008-12 .. 2024-12",-1.00546070315581,4,FALSE,-1.04384496200237,FALSE,0.3032123460725,TRUE,-3.83020733458008,6,TRUE,-2.20025333107344,12,FALSE,0.545632808481181,TRUE,-2.39009008409982,-5.08,"2018-11",FALSE,TRUE,"inconclusive"
"Warehousing_Storage","common",193,"2008-12 .. 2024-12",-1.00546070315581,4,FALSE,-1.04384496200237,FALSE,0.3032123460725,TRUE,-3.83020733458008,6,TRUE,-2.20025333107344,12,FALSE,0.545632808481181,TRUE,-2.39009008409982,-5.08,"2018-11",FALSE,TRUE,"inconclusive"
"PPI_All_Commodities","max",253,"2003-12 .. 2024-12",-2.67343084187026,2,FALSE,-2.22369682745697,FALSE,0.154277025039343,TRUE,-6.9459829226751,1,TRUE,-7.82253892950994,1,TRUE,0.0873910249031047,FALSE,-4.04514116651284,-5.08,"2014-09",FALSE,FALSE,"I(1)"
"PPI_All_Commodities","common",253,"2003-12 .. 2024-12",-2.67343084187026,2,FALSE,-2.22369682745697,FALSE,0.154277025039343,TRUE,-6.9459829226751,1,TRUE,-7.82253892950994,1,TRUE,0.0873910249031047,FALSE,-4.04514116651284,-5.08,"2014-09",FALSE,FALSE,"I(1)"
