"series","window","n_obs","test","spec","transform","statistic","cv_5pct","lags","reject_H0","H0"
"Airfreight_Scheduled","max",253,"ADF","drift","log level",-1.79364188020801,-2.87,2,FALSE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","drift","log diff",-9.54679884228191,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","trend","log level, seas. demeaned",-2.29888300253184,-3.42,2,FALSE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","drift","log diff, seas. demeaned",-9.55126314906048,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","max",253,"KPSS","tau","log level",0.29201934726232,0.146,NA,TRUE,"stationary"
"Airfreight_Scheduled","max",253,"KPSS","mu","log level",1.41624777683291,0.463,NA,TRUE,"stationary"
"Airfreight_Scheduled","max",253,"KPSS","mu","log diff",0.135359767681903,0.463,NA,FALSE,"stationary"
"Airfreight_Scheduled","max",253,"ZA","both","log level, break 2010-09",-3.95299349794132,-5.08,NA,FALSE,"unit root"
"Airfreight_Scheduled","common",252,"ADF","trend","log level",-2.28591010464086,-3.42,2,FALSE,"unit root"
"Airfreight_Scheduled","common",252,"ADF","drift","log level",-1.87368935786917,-2.87,2,FALSE,"unit root"
"Airfreight_Scheduled","common",252,"ADF","drift","log diff",-9.52430028518458,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","common",252,"ADF","trend","log level, seas. demeaned",-2.22556526370878,-3.42,2,FALSE,"unit root"
"Airfreight_Scheduled","common",252,"ADF","drift","log diff, seas. demeaned",-9.8009781773173,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","common",252,"KPSS","tau","log level",0.290337521186518,0.146,NA,TRUE,"stationary"
"Airfreight_Scheduled","common",252,"KPSS","mu","log level",1.40816338100485,0.463,NA,TRUE,"stationary"
"Airfreight_Scheduled","common",252,"KPSS","mu","log diff",0.124221435345429,0.463,NA,FALSE,"stationary"
"Airfreight_Scheduled","common",252,"ZA","both","log level, break 2010-09",-3.91325642166111,-5.08,NA,FALSE,"unit root"
"Deep_Sea_Freight","max",253,"ADF","trend","log level",-2.64328657501681,-3.42,3,FALSE,"unit root"
"Deep_Sea_Freight","max",253,"ADF","drift","log level",-0.643833373619661,-2.87,1,FALSE,"unit root"
"Deep_Sea_Freight","max",253,"ADF","drift","log diff",-7.10558333333823,-2.87,2,TRUE,"unit root"
"Deep_Sea_Freight","max",253,"ADF","trend","log level, seas. demeaned",-2.60319150632564,-3.42,3,FALSE,"unit root"
"Deep_Sea_Freight","max",253,"ADF","drift","log diff, seas. demeaned",-7.20516667134587,-2.87,2,TRUE,"unit root"
"Deep_Sea_Freight","max",253,"KPSS","tau","log level",0.292874833931362,0.146,NA,TRUE,"stationary"
"Deep_Sea_Freight","max",253,"KPSS","mu","log level",1.30535435341757,0.463,NA,TRUE,"stationary"
"Deep_Sea_Freight","max",253,"KPSS","mu","log diff",0.0855391520761417,0.463,NA,FALSE,"stationary"
"Deep_Sea_Freight","max",253,"ZA","both","log level, break 2022-03",-4.64472849745165,-5.08,NA,FALSE,"unit root"
"Deep_Sea_Freight","common",252,"ADF","trend","log level",-2.64538861412608,-3.42,3,FALSE,"unit root"
"Deep_Sea_Freight","common",252,"ADF","drift","log level",-0.645892450497346,-2.87,1,FALSE,"unit root"
"Deep_Sea_Freight","common",252,"ADF","drift","log diff",-7.0911673537751,-2.87,2,TRUE,"unit root"
"Deep_Sea_Freight","common",252,"ADF","trend","log level, seas. demeaned",-2.66696092539601,-3.42,3,FALSE,"unit root"
"Deep_Sea_Freight","common",252,"ADF","drift","log diff, seas. demeaned",-7.22705299098612,-2.87,2,TRUE,"unit root"
"Deep_Sea_Freight","common",252,"KPSS","tau","log level",0.292105257097494,0.146,NA,TRUE,"stationary"
"Deep_Sea_Freight","common",252,"KPSS","mu","log level",1.30078660811005,0.463,NA,TRUE,"stationary"
"Deep_Sea_Freight","common",252,"KPSS","mu","log diff",0.0793724324107288,0.463,NA,FALSE,"stationary"
"Deep_Sea_Freight","common",252,"ZA","both","log level, break 2022-03",-4.64871774519837,-5.08,NA,FALSE,"unit root"
"Airfreight_NonScheduled","max",199,"ADF","trend","log level",-3.21724319987355,-3.43,2,FALSE,"unit root"
"Airfreight_NonScheduled","max",199,"ADF","drift","log level",-1.10263852438453,-2.88,3,FALSE,"unit root"
"Airfreight_NonScheduled","max",199,"ADF","drift","log diff",-10.4610846731889,-2.88,2,TRUE,"unit root"
"Airfreight_NonScheduled","max",199,"ADF","trend","log level, seas. demeaned",-3.08310234012442,-3.43,5,FALSE,"unit root"
"Airfreight_NonScheduled","max",199,"ADF","drift","log diff, seas. demeaned",-10.4965071008517,-2.88,2,TRUE,"unit root"
"Airfreight_NonScheduled","max",199,"KPSS","tau","log level",0.207326396365892,0.146,NA,TRUE,"stationary"
"Airfreight_NonScheduled","max",199,"KPSS","mu","log level",1.30955831932369,0.463,NA,TRUE,"stationary"
"Airfreight_NonScheduled","max",199,"KPSS","mu","log diff",0.116755755411683,0.463,NA,FALSE,"stationary"
"Airfreight_NonScheduled","max",199,"ZA","both","log level, break 2022-02",-5.48318736416333,-5.08,NA,TRUE,"unit root"
"Airfreight_NonScheduled","common",199,"ADF","trend","log level",-3.21724319987355,-3.43,2,FALSE,"unit root"
"Airfreight_NonScheduled","common",199,"ADF","drift","log level",-1.10263852438453,-2.88,3,FALSE,"unit root"
"Airfreight_NonScheduled","common",199,"ADF","drift","log diff",-10.4610846731889,-2.88,2,TRUE,"unit root"
"Airfreight_NonScheduled","common",199,"ADF","trend","log level, seas. demeaned",-3.08310234012442,-3.43,5,FALSE,"unit root"
"Airfreight_NonScheduled","common",199,"ADF","drift","log diff, seas. demeaned",-10.4965071008517,-2.88,2,TRUE,"unit root"
"Airfreight_NonScheduled","common",199,"KPSS","tau","log level",0.207326396365892,0.146,NA,TRUE,"stationary"
"Airfreight_NonScheduled","common",199,"KPSS","mu","log level",1.30955831932369,0.463,NA,TRUE,"stationary"
"Airfreight_NonScheduled","common",199,"KPSS","mu","log diff",0.116755755411683,0.463,NA,FALSE,"stationary"
"Airfreight_NonScheduled","common",199,"ZA","both","log level, break 2022-02",-5.48318736416333,-5.08,NA,TRUE,"unit root"
"Rail_Transportation","max",253,"ADF","trend","log level",-2.98300625943427,-3.42,1,FALSE,"unit root"
"Rail_Transportation","max",253,"ADF","drift","log level",-1.70042819688571,-2.87,1,FALSE,"unit root"
"Rail_Transportation","max",253,"ADF","drift","log diff",-7.05584698566618,-2.87,1,TRUE,"unit root"
"Rail_Transportation","max",253,"ADF","trend","log level, seas. demeaned",-3.50042774510614,-3.42,12,TRUE,"unit root"
"Rail_Transportation","max",253,"ADF","drift","log diff, seas. demeaned",-3.86289831800359,-2.87,12,TRUE,"unit root"
"Rail_Transportation","max",253,"KPSS","tau","log level",0.215973991081794,0.146,NA,TRUE,"stationary"
"Rail_Transportation","max",253,"KPSS","mu","log level",1.55415016657593,0.463,NA,TRUE,"stationary"
"Rail_Transportation","max",253,"KPSS","mu","log diff",0.218913705812066,0.463,NA,FALSE,"stationary"
"Rail_Transportation","max",253,"ZA","both","log level, break 2014-11",-3.83517601156651,-5.08,NA,FALSE,"unit root"
"Rail_Transportation","common",252,"ADF","trend","log level",-3.05859396040342,-3.42,1,FALSE,"unit root"
"Rail_Transportation","common",252,"ADF","drift","log level",-1.73262204444989,-2.87,1,FALSE,"unit root"
"Rail_Transportation","common",252,"ADF","drift","log diff",-7.01081029655117,-2.87,1,TRUE,"unit root"
"Rail_Transportation","common",252,"ADF","trend","log level, seas. demeaned",-4.05209043982458,-3.42,12,TRUE,"unit root"
"Rail_Transportation","common",252,"ADF","drift","log diff, seas. demeaned",-3.93430519192956,-2.87,12,TRUE,"unit root"
"Rail_Transportation","common",252,"KPSS","tau","log level",0.2119520698506,0.146,NA,TRUE,"stationary"
"Rail_Transportation","common",252,"KPSS","mu","log level",1.54962454705755,0.463,NA,TRUE,"stationary"
"Rail_Transportation","common",252,"KPSS","mu","log diff",0.209994182998577,0.463,NA,FALSE,"stationary"
"Rail_Transportation","common",252,"ZA","both","log level, break 2014-11",-3.96817633204922,-5.08,NA,FALSE,"unit root"
"Inland_Water_Freight","max",253,"ADF","trend","log level",-3.04432834411212,-3.42,12,FALSE,"unit root"
"Inland_Water_Freight","max",253,"ADF","drift","log level",-2.75534427193455,-2.87,12,FALSE,"unit root"
"Inland_Water_Freight","max",253,"ADF","drift","log diff",-3.27375168602045,-2.87,11,TRUE,"unit root"
"Inland_Water_Freight","max",253,"ADF","trend","log level, seas. demeaned",-2.98425282506997,-3.42,12,FALSE,"unit root"
"Inland_Water_Freight","max",253,"ADF","drift","log diff, seas. demeaned",-3.39066475561838,-2.87,11,TRUE,"unit root"
"Inland_Water_Freight","max",253,"KPSS","tau","log level",0.251419595717763,0.146,NA,TRUE,"stationary"
"Inland_Water_Freight","max",253,"KPSS","mu","log level",0.877705069922048,0.463,NA,TRUE,"stationary"
"Inland_Water_Freight","max",253,"KPSS","mu","log diff",0.252432996679231,0.463,NA,FALSE,"stationary"
"Inland_Water_Freight","max",253,"ZA","both","log level, break 2019-12",-3.66737875854255,-5.08,NA,FALSE,"unit root"
"Inland_Water_Freight","common",252,"ADF","trend","log level",-2.96839886715719,-3.42,12,FALSE,"unit root"
"Inland_Water_Freight","common",252,"ADF","drift","log level",-2.65817752347075,-2.87,12,FALSE,"unit root"
"Inland_Water_Freight","common",252,"ADF","drift","log diff",-3.2773969470569,-2.87,11,TRUE,"unit root"
"Inland_Water_Freight","common",252,"ADF","trend","log level, seas. demeaned",-2.91239688277459,-3.42,12,FALSE,"unit root"
"Inland_Water_Freight","common",252,"ADF","drift","log diff, seas. demeaned",-3.1951367368291,-2.87,11,TRUE,"unit root"
"Inland_Water_Freight","common",252,"KPSS","tau","log level",0.247957625022482,0.146,NA,TRUE,"stationary"
"Inland_Water_Freight","common",252,"KPSS","mu","log level",0.86677161360335,0.463,NA,TRUE,"stationary"
"Inland_Water_Freight","common",252,"KPSS","mu","log diff",0.267133747992435,0.463,NA,FALSE,"stationary"
"Inland_Water_Freight","common",252,"ZA","both","log level, break 2019-12",-3.6274953452953,-5.08,NA,FALSE,"unit root"
"TC_Aggregate_WPU30","max",187,"ADF","trend","log level",-1.9458337545245,-3.43,4,FALSE,"unit root"
"TC_Aggregate_WPU30","max",187,"ADF","drift","log level",-0.0661464731430364,-2.88,1,FALSE,"unit root"
"TC_Aggregate_WPU30","max",187,"ADF","drift","log diff",-5.71179354774914,-2.88,2,TRUE,"unit root"
"TC_Aggregate_WPU30","max",187,"ADF","trend","log level, seas. demeaned",-2.75319961343719,-3.43,12,FALSE,"unit root"
"TC_Aggregate_WPU30","max",187,"ADF","drift","log diff, seas. demeaned",-3.10187893551319,-2.88,12,TRUE,"unit root"
"TC_Aggregate_WPU30","max",187,"KPSS","tau","log level",0.17945633846867,0.146,NA,TRUE,"stationary"
"TC_Aggregate_WPU30","max",187,"KPSS","mu","log level",1.19492301691205,0.463,NA,TRUE,"stationary"
"TC_Aggregate_WPU30","max",187,"KPSS","mu","log diff",0.0763174422470125,0.463,NA,FALSE,"stationary"
"TC_Aggregate_WPU30","max",187,"ZA","both","log level, break 2021-09",-4.46838142393569,-5.08,NA,FALSE,"unit root"
"TC_Aggregate_WPU30","common",187,"ADF","trend","log level",-1.9458337545245,-3.43,4,FALSE,"unit root"
"TC_Aggregate_WPU30","common",187,"ADF","drift","log level",-0.0661464731430364,-2.88,1,FALSE,"unit root"
"TC_Aggregate_WPU30","common",187,"ADF","drift","log diff",-5.71179354774914,-2.88,2,TRUE,"unit root"
"TC_Aggregate_WPU30","common",187,"ADF","trend","log level, seas. demeaned",-2.75319961343719,-3.43,12,FALSE,"unit root"
"TC_Aggregate_WPU30","common",187,"ADF","drift","log diff, seas. demeaned",-3.10187893551319,-2.88,12,TRUE,"unit root"
"TC_Aggregate_WPU30","common",187,"KPSS","tau","log level",0.17945633846867,0.146,NA,TRUE,"stationary"
"TC_Aggregate_WPU30","common",187,"KPSS","mu","log level",1.19492301691205,0.463,NA,TRUE,"stationary"
"TC_Aggregate_WPU30","common",187,"KPSS","mu","log diff",0.0763174422470125,0.463,NA,FALSE,"stationary"
"TC_Aggregate_WPU30","common",187,"ZA","both","log level, break 2021-09",-4.46838142393569,-5.08,NA,FALSE,"unit root"
"Total_Inventories","max",253,"ADF","trend","log level",-5.57749173888839,-3.42,12,TRUE,"unit root"
"Total_Inventories","max",253,"ADF","drift","log level",-0.806490322028434,-2.87,12,FALSE,"unit root"
"Total_Inventories","max",253,"ADF","drift","log diff",-3.25689335217744,-2.87,12,TRUE,"unit root"
"Total_Inventories","max",253,"ADF","trend","log level, seas. demeaned",-5.39785373069494,-3.42,12,TRUE,"unit root"
"Total_Inventories","max",253,"ADF","drift","log diff, seas. demeaned",-2.98152046906696,-2.87,12,TRUE,"unit root"
"Total_Inventories","max",253,"KPSS","tau","log level",0.126653339170202,0.146,NA,FALSE,"stationary"
"Total_Inventories","max",253,"KPSS","mu","log level",1.62509843934127,0.463,NA,TRUE,"stationary"
"Total_Inventories","max",253,"KPSS","mu","log diff",0.0423179736599973,0.463,NA,FALSE,"stationary"
"Total_Inventories","max",253,"ZA","both","log level, break 2008-09",-7.32465352860448,-5.08,NA,TRUE,"unit root"
"Total_Inventories","common",252,"ADF","trend","log level",-5.60917125797764,-3.42,12,TRUE,"unit root"
"Total_Inventories","common",252,"ADF","drift","log level",-0.701895477881845,-2.87,12,FALSE,"unit root"
"Total_Inventories","common",252,"ADF","drift","log diff",-3.2166764131825,-2.87,12,TRUE,"unit root"
"Total_Inventories","common",252,"ADF","trend","log level, seas. demeaned",-6.39708296570882,-3.42,12,TRUE,"unit root"
"Total_Inventories","common",252,"ADF","drift","log diff, seas. demeaned",-3.0168877748786,-2.87,12,TRUE,"unit root"
"Total_Inventories","common",252,"KPSS","tau","log level",0.127651648376719,0.146,NA,FALSE,"stationary"
"Total_Inventories","common",252,"KPSS","mu","log level",1.61796458038273,0.463,NA,TRUE,"stationary"
"Total_Inventories","common",252,"KPSS","mu","log diff",0.0432134216907577,0.463,NA,FALSE,"stationary"
"Total_Inventories","common",252,"ZA","both","log level, break 2008-09",-7.34816444814745,-5.08,NA,TRUE,"unit root"
"Warehouse_Construction","max",241,"ADF","trend","log level",-1.88121593891991,-3.43,3,FALSE,"unit root"
"Warehouse_Construction","max",241,"ADF","drift","log level",-0.196889325203322,-2.88,3,FALSE,"unit root"
"Warehouse_Construction","max",241,"ADF","drift","log diff",-4.33976861266695,-2.88,2,TRUE,"unit root"
"Warehouse_Construction","max",241,"ADF","trend","log level, seas. demeaned",-2.78258444832311,-3.43,12,FALSE,"unit root"
"Warehouse_Construction","max",241,"ADF","drift","log diff, seas. demeaned",-2.24144250268599,-2.88,12,FALSE,"unit root"
"Warehouse_Construction","max",241,"KPSS","tau","log level",0.278652113776639,0.146,NA,TRUE,"stationary"
"Warehouse_Construction","max",241,"KPSS","mu","log level",1.49739134667218,0.463,NA,TRUE,"stationary"
"Warehouse_Construction","max",241,"KPSS","mu","log diff",0.128904804536831,0.463,NA,FALSE,"stationary"
"Warehouse_Construction","max",241,"ZA","both","log level, break 2021-09",-7.97445532015146,-5.08,NA,TRUE,"unit root"
"Warehouse_Construction","common",241,"ADF","trend","log level",-1.88121593891991,-3.43,3,FALSE,"unit root"
"Warehouse_Construction","common",241,"ADF","drift","log level",-0.196889325203322,-2.88,3,FALSE,"unit root"
"Warehouse_Construction","common",241,"ADF","drift","log diff",-4.33976861266695,-2.88,2,TRUE,"unit root"
"Warehouse_Construction","common",241,"ADF","trend","log level, seas. demeaned",-2.78258444832311,-3.43,12,FALSE,"unit root"
"Warehouse_Construction","common",241,"ADF","drift","log diff, seas. demeaned",-2.24144250268599,-2.88,12,FALSE,"unit root"
"Warehouse_Construction","common",241,"KPSS","tau","log level",0.278652113776639,0.146,NA,TRUE,"stationary"
"Warehouse_Construction","common",241,"KPSS","mu","log level",1.49739134667218,0.463,NA,TRUE,"stationary"
"Warehouse_Construction","common",241,"KPSS","mu","log diff",0.128904804536831,0.463,NA,FALSE,"stationary"
"Warehouse_Construction","common",241,"ZA","both","log level, break 2021-09",-7.97445532015146,-5.08,NA,TRUE,"unit root"
"Warehousing_Storage","max",193,"ADF","trend","log level",-1.00546070315581,-3.43,4,FALSE,"unit root"
"Warehousing_Storage","max",193,"ADF","drift","log level",1.71693357807601,-2.88,4,FALSE,"unit root"
"Warehousing_Storage","max",193,"ADF","drift","log diff",-3.83020733458008,-2.88,6,TRUE,"unit root"
"Warehousing_Storage","max",193,"ADF","trend","log level, seas. demeaned",-1.04384496200237,-3.43,4,FALSE,"unit root"
"Warehousing_Storage","max",193,"ADF","drift","log diff, seas. demeaned",-2.20025333107344,-2.88,12,FALSE,"unit root"
"Warehousing_Storage","max",193,"KPSS","tau","log level",0.3032123460725,0.146,NA,TRUE,"stationary"
"Warehousing_Storage","max",193,"KPSS","mu","log level",1.05277030103139,0.463,NA,TRUE,"stationary"
"Warehousing_Storage","max",193,"KPSS","mu","log diff",0.545632808481181,0.463,NA,TRUE,"stationary"
"Warehousing_Storage","max",193,"ZA","both","log level, break 2018-11",-2.39009008409982,-5.08,NA,FALSE,"unit root"
"Warehousing_Storage","common",193,"ADF","trend","log level",-1.00546070315581,-3.43,4,FALSE,"unit root"
"Warehousing_Storage","common",193,"ADF","drift","log level",1.71693357807601,-2.88,4,FALSE,"unit root"
"Warehousing_Storage","common",193,"ADF","drift","log diff",-3.83020733458008,-2.88,6,TRUE,"unit root"
"Warehousing_Storage","common",193,"ADF","trend","log level, seas. demeaned",-1.04384496200237,-3.43,4,FALSE,"unit root"
"Warehousing_Storage","common",193,"ADF","drift","log diff, seas. demeaned",-2.20025333107344,-2.88,12,FALSE,"unit root"
"Warehousing_Storage","common",193,"KPSS","tau","log level",0.3032123460725,0.146,NA,TRUE,"stationary"
"Warehousing_Storage","common",193,"KPSS","mu","log level",1.05277030103139,0.463,NA,TRUE,"stationary"
"Warehousing_Storage","common",193,"KPSS","mu","log diff",0.545632808481181,0.463,NA,TRUE,"stationary"
"Warehousing_Storage","common",193,"ZA","both","log level, break 2018-11",-2.39009008409982,-5.08,NA,FALSE,"unit root"
"PPI_All_Commodities","max",253,"ADF","trend","log level",-2.67343084187026,-3.42,2,FALSE,"unit root"
"PPI_All_Commodities","max",253,"ADF","drift","log level",-1.6093045625173,-2.87,2,FALSE,"unit root"
"PPI_All_Commodities","max",253,"ADF","drift","log diff",-6.9459829226751,-2.87,1,TRUE,"unit root"
"PPI_All_Commodities","max",253,"ADF","trend","log level, seas. demeaned",-2.22369682745697,-3.42,1,FALSE,"unit root"
"PPI_All_Commodities","max",253,"ADF","drift","log diff, seas. demeaned",-7.82253892950994,-2.87,1,TRUE,"unit root"
"PPI_All_Commodities","max",253,"KPSS","tau","log level",0.154277025039343,0.146,NA,TRUE,"stationary"
"PPI_All_Commodities","max",253,"KPSS","mu","log level",1.27529028594912,0.463,NA,TRUE,"stationary"
"PPI_All_Commodities","max",253,"KPSS","mu","log diff",0.0873910249031047,0.463,NA,FALSE,"stationary"
"PPI_All_Commodities","max",253,"ZA","both","log level, break 2014-09",-4.04514116651284,-5.08,NA,FALSE,"unit root"
"PPI_All_Commodities","common",252,"ADF","trend","log level",-2.6377924106708,-3.42,2,FALSE,"unit root"
"PPI_All_Commodities","common",252,"ADF","drift","log level",-1.54967629344372,-2.87,2,FALSE,"unit root"
"PPI_All_Commodities","common",252,"ADF","drift","log diff",-6.92494288586928,-2.87,1,TRUE,"unit root"
"PPI_All_Commodities","common",252,"ADF","trend","log level, seas. demeaned",-2.9631056584913,-3.42,12,FALSE,"unit root"
"PPI_All_Commodities","common",252,"ADF","drift","log diff, seas. demeaned",-4.2590790097379,-2.87,12,TRUE,"unit root"
"PPI_All_Commodities","common",252,"KPSS","tau","log level",0.153858707420643,0.146,NA,TRUE,"stationary"
"PPI_All_Commodities","common",252,"KPSS","mu","log level",1.26627064258475,0.463,NA,TRUE,"stationary"
"PPI_All_Commodities","common",252,"KPSS","mu","log diff",0.0816595290677678,0.463,NA,FALSE,"stationary"
"PPI_All_Commodities","common",252,"ZA","both","log level, break 2014-09",-4.04373214616329,-5.08,NA,FALSE,"unit root"
