"model","pair","AIC","SBC","n_params","T","LB_Q_mode","LB_p_mode","LB_no_ac_mode","LB_Q_IC","LB_p_IC","LB_no_ac_IC","PT_stat","PT_p","PT_no_ac_5pct"
"Model 1","log LTL trucking + log IC",-3410.79382783709,-3263.66296439886,46,181,5.39621929370747,0.943420121061112,TRUE,2.64796886675534,0.997560145110927,TRUE,22.8573875788093,0.641002165717182,TRUE
"Model 2","log truckload + log IC",-3336.65300517422,-3202.08472431699,42,182,13.0527027999895,0.365221686281916,TRUE,7.74029299816258,0.805082080032602,TRUE,30.0064418437041,0.465323806479062,TRUE
"Model 3","log local trucking + log IC",-3475.65021088075,-3353.68973707277,38,183,30.257389262451,0.00255370591189286,FALSE,4.90474214498022,0.961085101070051,TRUE,53.8307100849692,0.0166263163316718,FALSE
"Model 4","log scheduled airfreight + log IC",-3380.2932756964,-3245.72499483918,42,182,9.70614610022234,0.641722723695442,TRUE,6.36325452140978,0.896675166982317,TRUE,41.6106924872941,0.0772467867254513,TRUE
