"model","pair","alpha_mode","t_mode","p_mode","sig_mode","alpha_IC","t_IC","p_IC","sig_IC"
"Model 1","log LTL trucking + log IC",-0.123337682231758,-4.62617053354753,7.71124454059429e-06,"***",-0.00893310273231189,-0.844723888777178,0.399542290539333,""
"Model 2","log truckload + log IC",-0.046117645789435,-3.6789934868734,0.000318891473087451,"***",0.00396824313883621,1.1917411642389,0.235116496665417,""
"Model 3","log local trucking + log IC",-0.0089406156844182,-0.573904675440832,0.566818553780073,"",0.0183701799114356,3.26480319632531,0.00133347741457631,"***"
"Model 4","log scheduled airfreight + log IC",-0.0498812372087925,-4.55825211564242,1.01542121499289e-05,"***",-0.00460255848603246,-1.34766266856687,0.179660243525039,""
