"model","pair","K","rank_trace","rank_lmax","beta_IC","lr_elasticity","alpha_mode","t_mode","p_mode","alpha_IC","t_IC","p_IC","abs_alpha_mode","abs_alpha_IC","faster_adjuster","asymmetric","hl_mode_months","hl_IC_months","AIC","SBC","LB_clean","PT_p"
"Model 1","log LTL trucking + log IC",6,2,2,0.128381108352287,-0.128381108352287,-0.123337682231758,-4.62617053354753,7.71124454059429e-06,-0.00893310273231189,-0.844723888777178,0.399542290539333,0.123337682231758,0.00893310273231189,"log_Trucking_LD_LTL","YES",5.2657392701979,NA,-3410.79382783709,-3263.66296439886,TRUE,0.641002165717182
"Model 2","log truckload + log IC",5,2,0,1.72232748059545,-1.72232748059545,-0.046117645789435,-3.6789934868734,0.000318891473087451,0.00396824313883621,1.1917411642389,0.235116496665417,0.046117645789435,0.00396824313883621,"log_Trucking_LD_Truckload","YES",14.6806768127245,NA,-3336.65300517422,-3202.08472431699,TRUE,0.465323806479062
"Model 3","log local trucking + log IC",4,1,0,-1.19282332090254,1.19282332090254,-0.0089406156844182,-0.573904675440832,0.566818553780073,0.0183701799114356,3.26480319632531,0.00133347741457631,0.0089406156844182,0.0183701799114356,"log_IC","YES",NA,NA,-3475.65021088075,-3353.68973707277,FALSE,0.0166263163316718
"Model 4","log scheduled airfreight + log IC",5,1,1,1.52864527747227,-1.52864527747227,-0.0498812372087925,-4.55825211564242,1.01542121499289e-05,-0.00460255848603246,-1.34766266856687,0.179660243525039,0.0498812372087925,0.00460255848603246,"log_Airfreight_Scheduled","YES",13.5464209899094,NA,-3380.2932756964,-3245.72499483918,TRUE,0.0772467867254513
