"run","Model","ic_series","dummies","ecdet","lag_rule","K","cv_valid","test","hypothesis","statistic","cv_10pct","cv_5pct","cv_1pct","reject_5pct"
"A_common_censusIC","LTL","Total_Inventories","orig","const","SBC",2,FALSE,"trace","r <= 1",11.548310568956,7.52,9.24,12.97,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","const","SBC",2,FALSE,"eigen","r = 0",31.5650747210026,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","const","SBC",2,FALSE,"eigen","r <= 1",11.5483105689559,7.52,9.24,12.97,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","AIC",6,FALSE,"trace","r = 0",32.7830992297816,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","AIC",6,FALSE,"trace","r <= 1",12.353925714288,10.49,12.25,16.26,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","AIC",6,FALSE,"eigen","r = 0",20.4291735154936,16.85,18.96,23.65,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","AIC",6,FALSE,"eigen","r <= 1",12.353925714288,10.49,12.25,16.26,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","SBC",2,FALSE,"trace","r = 0",31.5934948285622,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","SBC",2,FALSE,"trace","r <= 1",4.66804055756193,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","SBC",2,FALSE,"eigen","r = 0",26.9254542710003,16.85,18.96,23.65,TRUE
"A_common_censusIC","LTL","Total_Inventories","orig","trend","SBC",2,FALSE,"eigen","r <= 1",4.66804055756193,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","AIC",6,FALSE,"trace","r = 0",16.4810066220156,15.66,17.95,23.52,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","AIC",6,FALSE,"trace","r <= 1",0.399086205201447,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","AIC",6,FALSE,"eigen","r = 0",16.0819204168141,12.91,14.9,19.19,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","AIC",6,FALSE,"eigen","r <= 1",0.399086205201447,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","SBC",2,FALSE,"trace","r = 0",20.6912513849667,15.66,17.95,23.52,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","SBC",2,FALSE,"trace","r <= 1",0.962507689308975,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","SBC",2,FALSE,"eigen","r = 0",19.7287436956577,12.91,14.9,19.19,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","none","SBC",2,FALSE,"eigen","r <= 1",0.962507689308975,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","const","AIC",6,FALSE,"trace","r = 0",25.772038176821,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","const","AIC",6,FALSE,"trace","r <= 1",4.89410433111021,7.52,9.24,12.97,FALSE
